Statistical profiling result from prof/restify.isolate.log, (252 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1   10.0%    T v8::internal::Runtime_InterpreterDeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      Script: ~<anonymous> internal/url.js:1:11
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1  100.0%          LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:129:34
      1  100.0%            Script: ~<anonymous> fs.js:1:11
      1   10.0%    T v8::internal::Runtime_DeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: ~NativeModule.exists internal/bootstrap/loaders.js:174:33
      1  100.0%        LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:129:34
      1  100.0%          LazyCompile: ~startup internal/bootstrap/node.js:29:19
      1  100.0%            Script: ~bootstrapNodeJSCore internal/bootstrap/node.js:15:30

      6    2.4%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      6  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
      6  100.0%      LazyCompile: ~stat internal/modules/cjs/loader.js:83:14
      3   50.0%        LazyCompile: ~tryFile internal/modules/cjs/loader.js:193:17
      3  100.0%          LazyCompile: ~tryPackage internal/modules/cjs/loader.js:173:20
      3  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      3   50.0%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      3  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      3  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24

      6    2.4%  UNKNOWN
      2   33.3%    T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   50.0%      LazyCompile: ~keys /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:13305:18
      1  100.0%        LazyCompile: ~mixin /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:15686:19
      1  100.0%          Script: ~runInContext /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:1420:44
      1  100.0%            Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:9:11
      1   50.0%      LazyCompile: ~baseIsNative /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:3429:26
      1  100.0%        LazyCompile: ~getNative /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:5992:23
      1  100.0%          Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:1489:35
      1  100.0%            Script: ~runInContext /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/lodash/lodash.js:1420:44

      6    2.4%  Builtin: InterpreterEntryTrampoline
      2   33.3%    LazyCompile: ~toRealPath internal/modules/cjs/loader.js:201:20
      2  100.0%      LazyCompile: ~tryFile internal/modules/cjs/loader.js:193:17
      2  100.0%        LazyCompile: ~tryExtensions internal/modules/cjs/loader.js:208:23
      2  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      2  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1   16.7%    LazyCompile: ~basename path.js:1296:30
      1  100.0%      LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      1  100.0%        LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:642:36
      1   16.7%    LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      1  100.0%      LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1  100.0%        LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1  100.0%          LazyCompile: ~Module.require internal/modules/cjs/loader.js:642:36
      1  100.0%            LazyCompile: ~require internal/modules/cjs/helpers.js:17:19
      1   16.7%    LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1  100.0%      LazyCompile: ~Module.require internal/modules/cjs/loader.js:642:36
      1  100.0%        LazyCompile: ~require internal/modules/cjs/helpers.js:17:19
      1  100.0%          Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/hpack.js/lib/hpack.js:1:11
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37
      1   16.7%    LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      1  100.0%      LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1  100.0%        LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1  100.0%          LazyCompile: ~Module.require internal/modules/cjs/loader.js:642:36
      1  100.0%            LazyCompile: ~require internal/modules/cjs/helpers.js:17:19

      5    2.0%  t __enlarge
      1   20.0%    T v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      1  100.0%        LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:560:35
      1  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      1  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:642:36
      1   20.0%    T v8::internal::Runtime_DeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      Script: ~<anonymous> internal/process/promises.js:1:11
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1  100.0%          LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:129:34
      1  100.0%            LazyCompile: ~setupNextTick internal/process/next_tick.js:5:23

      4    1.6%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
      4  100.0%      LazyCompile: ~stringSlice buffer.js:588:21
      4  100.0%        LazyCompile: ~toString buffer.js:642:46
      4  100.0%          LazyCompile: ~readFileSync fs.js:345:22
      4  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:711:37

      4    1.6%  T v8::internal::Scanner::Scan()
